filepath,keyword,relevance
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\tree-fall-van.jpg,Plant,0.9660413861274719
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\tree-fall-van.jpg,Wheel,0.9616115093231201
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\tree-fall-van.jpg,Tire,0.9588321447372437
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\tree-fall-van.jpg,Vehicle,0.9373898506164551
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\tree-fall-van.jpg,Window,0.9356049299240112
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\tree-fall-van.jpg,Building,0.9229868650436401
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\tree-fall-van.jpg,Car,0.9215580224990845
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\tree-fall-van.jpg,Automotive tire,0.9069808125495911
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\tree-fall-van.jpg,Motor vehicle,0.9037712812423706
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\tree-fall-van.jpg,Tree,0.8884966969490051
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\night_scene.jpg,Chair,0.886035144329071
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\night_scene.jpg,Building,0.8545677661895752
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\night_scene.jpg,Leisure,0.7796179056167603
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\night_scene.jpg,Entertainment,0.7641674280166626
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\night_scene.jpg,Event,0.7478636503219604
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\night_scene.jpg,Crowd,0.7463969588279724
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\night_scene.jpg,Customer,0.7187809944152832
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\night_scene.jpg,Table,0.7128532528877258
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\night_scene.jpg,Trade,0.683064877986908
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\night_scene.jpg,Fun,0.676274836063385
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\garbage_overflow.jpg,Waste container,0.9330523610115051
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\garbage_overflow.jpg,Bin bag,0.9252826571464539
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\garbage_overflow.jpg,Waste containment,0.9184485673904419
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\garbage_overflow.jpg,Plastic bag,0.8693768978118896
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\garbage_overflow.jpg,Asphalt,0.830828845500946
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\garbage_overflow.jpg,Gas,0.7809178829193115
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\garbage_overflow.jpg,Motor vehicle,0.7601569294929504
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\garbage_overflow.jpg,Waste,0.7468107342720032
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\garbage_overflow.jpg,Pollution,0.7448604702949524
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\garbage_overflow.jpg,Recycling,0.741836667060852
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\flashflood.jpg,Car,0.977035403251648
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\flashflood.jpg,Sky,0.9656752943992615
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\flashflood.jpg,Land vehicle,0.9652277231216431
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\flashflood.jpg,Wheel,0.9601868987083435
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\flashflood.jpg,Tire,0.9531036019325256
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\flashflood.jpg,Vehicle,0.9530459046363831
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\flashflood.jpg,Street light,0.9316864609718323
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\flashflood.jpg,Bus,0.9232727885246277
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\flashflood.jpg,Plant,0.9158086180686951
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\flashflood.jpg,Road surface,0.9066095352172852
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\crowd_day.JPG,Clothing,0.9872109293937683
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\crowd_day.JPG,Jeans,0.9623873829841614
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\crowd_day.JPG,Photograph,0.9417449235916138
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\crowd_day.JPG,Infrastructure,0.908807098865509
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\crowd_day.JPG,Temple,0.8855458498001099
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\crowd_day.JPG,Building,0.8845176100730896
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\crowd_day.JPG,Travel,0.8460034132003784
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\crowd_day.JPG,Plant,0.8357223272323608
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\crowd_day.JPG,Market,0.8282912373542786
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\crowd_day.JPG,Leisure,0.827606201171875
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\bus_stop.jpg,Building,0.9030277729034424
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\bus_stop.jpg,Tree,0.8590392470359802
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\bus_stop.jpg,Plant,0.8536353707313538
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\bus_stop.jpg,Urban design,0.7914974093437195
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\bus_stop.jpg,Leisure,0.7533601522445679
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\bus_stop.jpg,Sidewalk,0.7257212400436401
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\bus_stop.jpg,Road,0.7183583974838257
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\bus_stop.jpg,Asphalt,0.71718829870224
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\bus_stop.jpg,City,0.7062406539916992
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\bus_stop.jpg,Shade,0.6944461464881897
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\broken_table.jpg,Plant,0.9160101413726807
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\broken_table.jpg,Table,0.903282105922699
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\broken_table.jpg,Green,0.899884819984436
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\broken_table.jpg,Grass,0.8487622737884521
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\broken_table.jpg,Wood,0.79252028465271
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\broken_table.jpg,Outdoor furniture,0.7882039546966553
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\broken_table.jpg,Sculpture,0.7848669290542603
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\broken_table.jpg,Terrestrial plant,0.7745941281318665
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\broken_table.jpg,Groundcover,0.7689446210861206
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\broken_table.jpg,Landscape,0.729154109954834
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\abstract.jpg,Colorfulness,0.9619269967079163
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\abstract.jpg,Rectangle,0.9049730896949768
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\abstract.jpg,Triangle,0.8833547234535217
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\abstract.jpg,Textile,0.8832548260688782
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\abstract.jpg,Orange,0.8749901652336121
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\abstract.jpg,Purple,0.8580204844474792
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\abstract.jpg,Font,0.8515526652336121
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\abstract.jpg,Art,0.8427760004997253
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\abstract.jpg,Pink,0.829823911190033
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\abstract.jpg,Wall,0.8255547285079956
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Public-bus-in-Singapore.jpg,Bus,0.9747537970542908
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Public-bus-in-Singapore.jpg,Tire,0.9638832211494446
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Public-bus-in-Singapore.jpg,Wheel,0.9449735283851624
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Public-bus-in-Singapore.jpg,Vehicle,0.9285193681716919
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Public-bus-in-Singapore.jpg,Tour bus service,0.912946879863739
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Public-bus-in-Singapore.jpg,Motor vehicle,0.881637454032898
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Public-bus-in-Singapore.jpg,Vehicle registration plate,0.8696987628936768
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Public-bus-in-Singapore.jpg,Building,0.8452724814414978
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Public-bus-in-Singapore.jpg,Window,0.8352307677268982
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Public-bus-in-Singapore.jpg,Plant,0.833077609539032
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Left-turn-for-buses-Mountbatten-Rd-300x200.jpg,Vehicle,0.9456667304039001
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Left-turn-for-buses-Mountbatten-Rd-300x200.jpg,Motor vehicle,0.9174622893333435
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Left-turn-for-buses-Mountbatten-Rd-300x200.jpg,Tree,0.9020176529884338
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Left-turn-for-buses-Mountbatten-Rd-300x200.jpg,Car,0.8982862234115601
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Left-turn-for-buses-Mountbatten-Rd-300x200.jpg,Mode of transport,0.8402616381645203
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Left-turn-for-buses-Mountbatten-Rd-300x200.jpg,Sky,0.8119596242904663
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Left-turn-for-buses-Mountbatten-Rd-300x200.jpg,Plant,0.8085554838180542
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Left-turn-for-buses-Mountbatten-Rd-300x200.jpg,Asphalt,0.796088695526123
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Left-turn-for-buses-Mountbatten-Rd-300x200.jpg,Automotive exterior,0.7808024287223816
D:\GT_Workstation\TechShare\AutoML_Vision_GCP\production\quickfire_image_tagger\inputs\Left-turn-for-buses-Mountbatten-Rd-300x200.jpg,Gas,0.7799161672592163
